"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
30552-013,Infrastructure for Rural Productivity Enhancement Sector Project,Philippines,Sovereign,Loan,Closed,1772,31/10/2000,10/31/2000,"75,000,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",B,,,Southeast Asia Department,Dept. of Agriculture (Office of the Secretary),"Bui, Giap Minh",,,
49182-001,Support of ADB-USEPA Cooperation,Regional,Sovereign,Technical Assistance,Closed,8911,24/06/2015,6/24/2015,"45,000.00",Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development | Water-based natural resources management | Other urban services | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Ferdausi, Shakil A.",,,
47381-001,Mahaweli Water Security Investment Program,Sri Lanka,Sovereign,Loan,Active,88,24/06/2015,6/24/2015,"453,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,,,,Sectors Group,,"Dabare, Krishanthi",,,
49182-001,Support of ADB-USEPA Cooperation,Regional,Sovereign,Technical Assistance,Closed,8911,24/06/2015,6/24/2015,"45,000.00",Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development | Water-based natural resources management | Other urban services | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Ferdausi, Shakil A.",,,
47381-001,Mahaweli Water Security Investment Program,Sri Lanka,Sovereign,Loan,Active,88,24/06/2015,6/24/2015,"453,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,,,,Sectors Group,,"Dabare, Krishanthi",,,
49182-001,Support of ADB-USEPA Cooperation,Regional,Sovereign,Technical Assistance,Closed,8911,24/06/2015,6/24/2015,"45,000.00",Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development | Water-based natural resources management | Other urban services | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Ferdausi, Shakil A.",,,
47381-001,Mahaweli Water Security Investment Program,Sri Lanka,Sovereign,Loan,Active,88,24/06/2015,6/24/2015,"453,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,,,,Sectors Group,,"Dabare, Krishanthi",,,
49182-001,Support of ADB-USEPA Cooperation,Regional,Sovereign,Technical Assistance,Closed,8911,24/06/2015,6/24/2015,"45,000.00",Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development | Water-based natural resources management | Other urban services | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Ferdausi, Shakil A.",,,
47381-001,Mahaweli Water Security Investment Program,Sri Lanka,Sovereign,Loan,Active,88,24/06/2015,6/24/2015,"453,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,,,,Sectors Group,,"Dabare, Krishanthi",,,
49182-001,Support of ADB-USEPA Cooperation,Regional,Sovereign,Technical Assistance,Closed,8911,24/06/2015,6/24/2015,"45,000.00",Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Rural water policy, institutional and capacity development | Water-based natural resources management | Other urban services | Urban policy, institutional and capacity development",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Ferdausi, Shakil A.",,,
