"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
46078-002,Anhui Huainan Urban Water Systems Integrated Rehabilitation Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Closed,3054 | 8491,25/10/2013,10/25/2013,"150,000,000.00","Bagongshan Qu, Chao Lake, Dajiang, Gaotang Hu, Huainan, Huainan Shi, Qinglong Hu, Shijian Lake","Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Water-based natural resources management | Urban flood protection | Urban sewerage,A,C,A,East Asia Department,Anhui Provincial Finance Department,"Zheng, Baochang",,,
38412-023,MFF - Assam Integrated Flood and Riverbank Erosion Risk Management Investment Program - Tranche 1,India,Sovereign,Loan,Closed,2684,25/10/2010,10/25/2010,"48,500,000.00",Palasbari,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural flood protection | Rural water policy, institutional and capacity development | Urban flood protection | Urban policy, institutional and capacity development",A,B,A,South Asia Department,Flood and River Erosion Management Agency of Assam,"Drieu, Olivier",,,
38412-023,MFF - Assam Integrated Flood and Riverbank Erosion Risk Management Investment Program - Tranche 1,India,Sovereign,Loan,Closed,2684,25/10/2010,10/25/2010,"48,500,000.00",Palasbari,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural flood protection | Rural water policy, institutional and capacity development | Urban flood protection | Urban policy, institutional and capacity development",A,B,A,South Asia Department,Flood and River Erosion Management Agency of Assam,"Drieu, Olivier",,,
38412-023,MFF - Assam Integrated Flood and Riverbank Erosion Risk Management Investment Program - Tranche 1,India,Sovereign,Loan,Closed,2684,25/10/2010,10/25/2010,"48,500,000.00",Palasbari,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural flood protection | Rural water policy, institutional and capacity development | Urban flood protection | Urban policy, institutional and capacity development",A,B,A,South Asia Department,Flood and River Erosion Management Agency of Assam,"Drieu, Olivier",,,
38412-023,MFF - Assam Integrated Flood and Riverbank Erosion Risk Management Investment Program - Tranche 1,India,Sovereign,Loan,Closed,2684,25/10/2010,10/25/2010,"48,500,000.00",Palasbari,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural flood protection | Rural water policy, institutional and capacity development | Urban flood protection | Urban policy, institutional and capacity development",A,B,A,South Asia Department,Flood and River Erosion Management Agency of Assam,"Drieu, Olivier",,,
38412-023,MFF - Assam Integrated Flood and Riverbank Erosion Risk Management Investment Program - Tranche 1,India,Sovereign,Loan,Closed,2684,25/10/2010,10/25/2010,"48,500,000.00",Palasbari,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural flood protection | Rural water policy, institutional and capacity development | Urban flood protection | Urban policy, institutional and capacity development",A,B,A,South Asia Department,Flood and River Erosion Management Agency of Assam,"Drieu, Olivier",,,
51242-001,Resilient Communities Development Project,Myanmar,Sovereign,Technical Assistance,Closed,9413,26/10/2017,10/26/2017,"1,200,000.00",,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Rural market infrastructure | Rural water supply services,B,A,B,Southeast Asia Department,Department of Rural Development,"Dina, Stefania",,,
50288-001,Infrastructure Preparation and Innovation Facility,Philippines,Sovereign,Loan | Technical Assistance,Active,10229 | 3589 | 3886 | 4424,27/10/2017,10/27/2017,"500,500,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban) | Transport policies and institutional development | Urban public transport,C,C,C,Sectors Group,Department of Finance,"Gonzalez Jimenez, Juan Francisco",,,
50288-001,Infrastructure Preparation and Innovation Facility,Philippines,Sovereign,Loan | Technical Assistance,Active,10229 | 3589 | 3886 | 4424,27/10/2017,10/27/2017,"500,500,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban) | Transport policies and institutional development | Urban public transport,C,C,C,Sectors Group,Department of Finance,"Gonzalez Jimenez, Juan Francisco",,,
50288-001,Infrastructure Preparation and Innovation Facility,Philippines,Sovereign,Loan | Technical Assistance,Active,10229 | 3589 | 3886 | 4424,27/10/2017,10/27/2017,"500,500,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban) | Transport policies and institutional development | Urban public transport,C,C,C,Sectors Group,Department of Finance,"Gonzalez Jimenez, Juan Francisco",,,
50288-001,Infrastructure Preparation and Innovation Facility,Philippines,Sovereign,Loan | Technical Assistance,Active,10229 | 3589 | 3886 | 4424,27/10/2017,10/27/2017,"500,500,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban) | Transport policies and institutional development | Urban public transport,C,C,C,Sectors Group,Department of Finance,"Gonzalez Jimenez, Juan Francisco",,,
50288-001,Infrastructure Preparation and Innovation Facility,Philippines,Sovereign,Loan | Technical Assistance,Active,10229 | 3589 | 3886 | 4424,27/10/2017,10/27/2017,"500,500,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban) | Transport policies and institutional development | Urban public transport,C,C,C,Sectors Group,Department of Finance,"Gonzalez Jimenez, Juan Francisco",,,
51178-001,Sustaining the Gains of Regional Cooperation in the Greater Mekong Subregion,Regional,Sovereign,Technical Assistance,Closed,9416,30/10/2017,10/30/2017,"2,800,000.00",Cambodia - Nation-wide; China - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Health | Industry and trade | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Technical and vocational education and training | Electricity transmission and distribution | Energy sector development and institutional reform | Disease control of communicable disease | Health sector development and reform | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Sumbal, Asadullah Khan",,,
51178-001,Sustaining the Gains of Regional Cooperation in the Greater Mekong Subregion,Regional,Sovereign,Technical Assistance,Closed,9416,30/10/2017,10/30/2017,"2,800,000.00",Cambodia - Nation-wide; China - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Health | Industry and trade | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Technical and vocational education and training | Electricity transmission and distribution | Energy sector development and institutional reform | Disease control of communicable disease | Health sector development and reform | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Sumbal, Asadullah Khan",,,
51178-001,Sustaining the Gains of Regional Cooperation in the Greater Mekong Subregion,Regional,Sovereign,Technical Assistance,Closed,9416,30/10/2017,10/30/2017,"2,800,000.00",Cambodia - Nation-wide; China - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Health | Industry and trade | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Technical and vocational education and training | Electricity transmission and distribution | Energy sector development and institutional reform | Disease control of communicable disease | Health sector development and reform | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Sumbal, Asadullah Khan",,,
51178-001,Sustaining the Gains of Regional Cooperation in the Greater Mekong Subregion,Regional,Sovereign,Technical Assistance,Closed,9416,30/10/2017,10/30/2017,"2,800,000.00",Cambodia - Nation-wide; China - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Health | Industry and trade | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Technical and vocational education and training | Electricity transmission and distribution | Energy sector development and institutional reform | Disease control of communicable disease | Health sector development and reform | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Sumbal, Asadullah Khan",,,
51178-001,Sustaining the Gains of Regional Cooperation in the Greater Mekong Subregion,Regional,Sovereign,Technical Assistance,Closed,9416,30/10/2017,10/30/2017,"2,800,000.00",Cambodia - Nation-wide; China - Nation-wide; Lao People's Democratic Republic - Nation-wide; Myanmar - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Health | Industry and trade | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Education sector development | Technical and vocational education and training | Electricity transmission and distribution | Energy sector development and institutional reform | Disease control of communicable disease | Health sector development and reform | Industry and trade sector development | Trade and services | Public administration | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Sumbal, Asadullah Khan",,,
